#options: 1920x1152 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=12000 vbv_bufsize=15000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.23 aq:13.00 tex:8607 mv:3826 misc:6519 imb:8640 pmb:0 smb:0 d:- ref:;
in:52 out:53 type:B dur:2 cpbdur:2 q:13.89 aq:5.56 tex:209918 mv:41296 misc:6130 imb:765 pmb:3965 smb:3910 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:13.90 aq:5.88 tex:185484 mv:39912 misc:5996 imb:624 pmb:4082 smb:3934 d:- ref:0 ;
in:57 out:55 type:P dur:2 cpbdur:2 q:13.97 aq:4.80 tex:336960 mv:39408 misc:4256 imb:3522 pmb:1963 smb:3155 d:s ref:0 ;
in:55 out:56 type:B dur:2 cpbdur:2 q:14.00 aq:5.58 tex:205462 mv:39951 misc:6315 imb:773 pmb:3989 smb:3878 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:14.00 aq:5.85 tex:159091 mv:36512 misc:6149 imb:595 pmb:3963 smb:4082 d:- ref:0 ;
in:60 out:58 type:P dur:2 cpbdur:2 q:13.96 aq:4.92 tex:351928 mv:38313 misc:3943 imb:3403 pmb:1839 smb:3398 d:s ref:0 ;
in:58 out:59 type:B dur:2 cpbdur:2 q:14.09 aq:5.68 tex:188768 mv:38639 misc:6225 imb:733 pmb:3799 smb:4108 d:t ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:14.09 aq:6.07 tex:160370 mv:36573 misc:5969 imb:583 pmb:3912 smb:4145 d:- ref:0 ;
in:63 out:61 type:P dur:2 cpbdur:2 q:14.24 aq:5.08 tex:323219 mv:40762 misc:3659 imb:4079 pmb:1753 smb:2808 d:s ref:0 ;
in:61 out:62 type:B dur:2 cpbdur:2 q:14.27 aq:5.92 tex:186477 mv:37815 misc:5884 imb:890 pmb:3557 smb:4193 d:s ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:14.27 aq:6.44 tex:142810 mv:35786 misc:5676 imb:529 pmb:3670 smb:4441 d:- ref:0 ;
in:66 out:64 type:P dur:2 cpbdur:2 q:14.64 aq:5.36 tex:323966 mv:41093 misc:3197 imb:4495 pmb:1608 smb:2537 d:s ref:0 ;
in:64 out:65 type:B dur:2 cpbdur:2 q:14.65 aq:6.50 tex:154793 mv:36880 misc:5535 imb:786 pmb:3247 smb:4607 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:14.65 aq:6.92 tex:128793 mv:34188 misc:5555 imb:581 pmb:3339 smb:4720 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:14.98 aq:5.16 tex:282154 mv:38348 misc:3890 imb:4231 pmb:1710 smb:2699 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:14.97 aq:7.17 tex:117937 mv:32726 misc:5777 imb:522 pmb:3364 smb:4754 d:s ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:15.10 aq:4.26 tex:302089 mv:33692 misc:1971 imb:5516 pmb:1169 smb:1955 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:15.11 aq:6.37 tex:145881 mv:35342 misc:4665 imb:1098 pmb:2898 smb:4644 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:15.11 aq:7.48 tex:112333 mv:30455 misc:5300 imb:565 pmb:3067 smb:5008 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:15.11 aq:7.51 tex:98893 mv:25720 misc:4659 imb:506 pmb:2710 smb:5424 d:- ref:0 ;
in:77 out:73 type:P dur:2 cpbdur:2 q:15.29 aq:3.96 tex:278905 mv:27744 misc:1319 imb:5889 pmb:1076 smb:1675 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:15.29 aq:6.09 tex:181503 mv:31779 misc:3014 imb:977 pmb:2422 smb:5241 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:15.29 aq:7.64 tex:96820 mv:25381 misc:4487 imb:485 pmb:2604 smb:5551 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:15.29 aq:6.96 tex:219657 mv:25905 misc:3814 imb:584 pmb:4569 smb:3487 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:15.29 aq:7.44 tex:139645 mv:23277 misc:3678 imb:523 pmb:2707 smb:5410 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:15.59 aq:3.37 tex:239122 mv:21613 misc:1193 imb:2472 pmb:864 smb:5304 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:15.58 aq:6.34 tex:111960 mv:22360 misc:2608 imb:349 pmb:1965 smb:6326 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:15.58 aq:7.96 tex:70674 mv:21385 misc:3085 imb:332 pmb:1820 smb:6488 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:15.59 aq:7.86 tex:62428 mv:18158 misc:2838 imb:192 pmb:1801 smb:6647 d:- ref:0 ;
in:86 out:82 type:P dur:2 cpbdur:2 q:15.87 aq:4.00 tex:241664 mv:16987 misc:1117 imb:1135 pmb:916 smb:6589 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:15.87 aq:5.91 tex:99472 mv:19519 misc:1849 imb:322 pmb:1457 smb:6861 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:15.87 aq:8.48 tex:45673 mv:15104 misc:2223 imb:120 pmb:1384 smb:7136 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:15.87 aq:8.44 tex:50570 mv:15365 misc:2137 imb:121 pmb:1286 smb:7233 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:15.87 aq:8.39 tex:50971 mv:14912 misc:2157 imb:122 pmb:1285 smb:7233 d:- ref:0 ;
in:91 out:87 type:P dur:2 cpbdur:2 q:16.02 aq:4.39 tex:261604 mv:16746 misc:1018 imb:1041 pmb:915 smb:6684 d:s ref:0 w:7,125,0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:16.02 aq:6.11 tex:94044 mv:18686 misc:1822 imb:148 pmb:1532 smb:6960 d:s ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:16.02 aq:8.30 tex:40204 mv:14302 misc:2118 imb:75 pmb:1306 smb:7259 d:s ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:16.02 aq:8.70 tex:44463 mv:13579 misc:2238 imb:68 pmb:1231 smb:7341 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:16.02 aq:8.52 tex:41777 mv:13721 misc:2302 imb:76 pmb:1198 smb:7366 d:- ref:0 ;
in:96 out:92 type:P dur:2 cpbdur:2 q:16.05 aq:4.46 tex:292424 mv:17486 misc:1162 imb:998 pmb:974 smb:6668 d:s ref:0 w:6,61,1,6,61,6,64,0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:16.05 aq:7.26 tex:86675 mv:17573 misc:1856 imb:131 pmb:1544 smb:6965 d:s ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:16.05 aq:8.41 tex:33655 mv:12761 misc:2416 imb:46 pmb:1258 smb:7336 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:16.05 aq:8.79 tex:40933 mv:13391 misc:2420 imb:64 pmb:1239 smb:7337 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:16.05 aq:8.60 tex:40575 mv:13861 misc:2396 imb:55 pmb:1279 smb:7306 d:- ref:0 ;
in:101 out:97 type:P dur:2 cpbdur:2 q:16.10 aq:4.78 tex:304297 mv:18221 misc:1082 imb:1161 pmb:912 smb:6567 d:s ref:0 w:4,15,1 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:16.10 aq:6.28 tex:88691 mv:16989 misc:1936 imb:144 pmb:1560 smb:6936 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:16.10 aq:8.14 tex:34628 mv:12432 misc:2468 imb:41 pmb:1311 smb:7288 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:16.10 aq:8.12 tex:45557 mv:14626 misc:2489 imb:90 pmb:1360 smb:7190 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:16.10 aq:8.69 tex:47799 mv:14125 misc:2300 imb:90 pmb:1333 smb:7217 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:16.25 aq:4.99 tex:319068 mv:17566 misc:942 imb:1293 pmb:821 smb:6526 d:s ref:0 w:5,31,0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:16.31 aq:7.07 tex:80026 mv:20281 misc:1765 imb:240 pmb:1603 smb:6797 d:s ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:16.31 aq:8.33 tex:42370 mv:14600 misc:2374 imb:98 pmb:1423 smb:7119 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:16.31 aq:8.16 tex:48001 mv:17148 misc:2107 imb:140 pmb:1506 smb:6994 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:16.48 aq:5.36 tex:242205 mv:16888 misc:1203 imb:841 pmb:1111 smb:6688 d:s ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:16.52 aq:8.22 tex:61008 mv:17227 misc:2069 imb:130 pmb:1450 smb:7060 d:t ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:16.52 aq:9.23 tex:30691 mv:12881 misc:2428 imb:88 pmb:1212 smb:7340 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:16.52 aq:9.53 tex:30298 mv:11800 misc:2318 imb:85 pmb:1154 smb:7401 d:- ref:0 ;
in:114 out:110 type:P dur:2 cpbdur:2 q:16.67 aq:5.12 tex:241084 mv:16608 misc:1180 imb:863 pmb:1108 smb:6669 d:s ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:16.72 aq:7.35 tex:59517 mv:16083 misc:2176 imb:128 pmb:1340 smb:7172 d:t ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:16.72 aq:9.91 tex:21184 mv:10686 misc:2354 imb:60 pmb:1000 smb:7580 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:16.72 aq:10.09 tex:29988 mv:11633 misc:2435 imb:73 pmb:1021 smb:7546 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:16.72 aq:9.80 tex:30226 mv:11200 misc:2398 imb:61 pmb:1069 smb:7510 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:16.81 aq:5.29 tex:216835 mv:16505 misc:1348 imb:798 pmb:1172 smb:6670 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:16.86 aq:8.38 tex:48393 mv:15831 misc:2328 imb:116 pmb:1387 smb:7137 d:t ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:16.86 aq:9.60 tex:23412 mv:12169 misc:2395 imb:77 pmb:1156 smb:7407 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:16.86 aq:9.83 tex:24760 mv:12848 misc:2552 imb:101 pmb:1136 smb:7403 d:- ref:0 ;
in:123 out:119 type:P dur:2 cpbdur:2 q:17.07 aq:5.28 tex:229916 mv:16574 misc:1318 imb:1110 pmb:924 smb:6606 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:17.11 aq:8.09 tex:59960 mv:16828 misc:2260 imb:218 pmb:1302 smb:7120 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:17.11 aq:10.25 tex:23701 mv:10837 misc:2390 imb:78 pmb:1024 smb:7538 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:17.11 aq:10.34 tex:31719 mv:11900 misc:2349 imb:139 pmb:1009 smb:7492 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:17.11 aq:10.29 tex:27978 mv:10653 misc:2273 imb:113 pmb:934 smb:7593 d:- ref:0 ;
in:129 out:124 type:P dur:2 cpbdur:2 q:16.52 aq:5.22 tex:209162 mv:15143 misc:1351 imb:812 pmb:1109 smb:6719 d:s ref:0 ;
in:126 out:125 type:B dur:2 cpbdur:2 q:17.07 aq:8.32 tex:58022 mv:15359 misc:2171 imb:169 pmb:1307 smb:7164 d:s ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:17.07 aq:11.28 tex:19299 mv:8296 misc:2237 imb:54 pmb:829 smb:7757 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:17.07 aq:11.49 tex:15297 mv:7629 misc:2266 imb:48 pmb:740 smb:7852 d:s ref:0 ;
